# export_mt_object_to_txt
# station_id: 08-03
# lat: 45.609
# lon: 84.402
# profile_pos_m: 16232.58013592401
# n_freq: 39
# columns: freq_hz	period_s	Zxx_real	Zxx_imag	Zxy_real	Zxy_imag	Zyx_real	Zyx_imag	Zyy_real	Zyy_imag	Zxx_err	Zxy_err	Zyx_err	Zyy_err	rho_xx	rho_xy	rho_yx	rho_yy	phs_xx_deg	phs_xy_deg	phs_yx_deg	phs_yy_deg	rho_err_xx	rho_err_xy	rho_err_yx	rho_err_yy	phs_err_xx_deg	phs_err_xy_deg	phs_err_yx_deg	phs_err_yy_deg	rho_noise_std_log10_xx	rho_noise_std_log10_xy	rho_noise_std_log10_yx	rho_noise_std_log10_yy	phs_noise_std_norm_xx	phs_noise_std_norm_xy	phs_noise_std_norm_yx	phs_noise_std_norm_yy
freq_hz	period_s	Zxx_real	Zxx_imag	Zxy_real	Zxy_imag	Zyx_real	Zyx_imag	Zyy_real	Zyy_imag	Zxx_err	Zxy_err	Zyx_err	Zyy_err	rho_xx	rho_xy	rho_yx	rho_yy	phs_xx_deg	phs_xy_deg	phs_yx_deg	phs_yy_deg	rho_err_xx	rho_err_xy	rho_err_yx	rho_err_yy	phs_err_xx_deg	phs_err_xy_deg	phs_err_yx_deg	phs_err_yy_deg	rho_noise_std_log10_xx	rho_noise_std_log10_xy	rho_noise_std_log10_yx	rho_noise_std_log10_yy	phs_noise_std_norm_xx	phs_noise_std_norm_xy	phs_noise_std_norm_yx	phs_noise_std_norm_yy
1.187840e+00	8.418642e-01	-3.042537e-02	3.367880e-03	9.312955e-02	7.808366e-02	-1.683326e-01	-9.531591e-02	-2.727820e-02	3.307389e-03	5.371222e-03	5.570722e-03	5.424928e-03	5.626423e-03	9.991095e+01	1.574845e+03	3.989953e+03	8.050478e+01	6.316535e+00	3.997786e+01	2.952008e+01	6.913174e+00	3.506193e+01	1.443732e+02	2.237866e+02	3.296852e+01	1.005345e+01	2.626282e+00	1.606789e+00	1.173195e+01	1.524077e-01	3.981375e-02	2.435850e-02	1.778533e-01	1.117051e-01	2.918091e-02	1.785321e-02	1.303550e-01
1.414400e+00	7.070136e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1.684170e+00	5.937643e-01	-3.003671e-02	9.056467e-03	1.123614e-01	1.033854e-01	-1.832788e-01	-1.224077e-01	-2.199947e-02	5.519543e-03	2.979008e-03	3.108583e-03	2.965333e-03	3.094313e-03	7.401472e+01	1.753211e+03	3.652876e+03	3.868663e+01	1.677876e+01	4.261762e+01	3.373804e+01	1.408446e+01	1.405636e+01	7.138741e+01	9.829540e+01	1.055570e+01	5.440608e+00	1.166488e+00	7.708872e-01	7.816612e+00	8.247820e-02	1.768365e-02	1.168645e-02	1.184978e-01	6.045121e-02	1.296097e-02	8.565414e-03	8.685124e-02
2.005380e+00	4.986586e-01	-2.968351e-02	8.091474e-03	1.197331e-01	1.189800e-01	-1.937526e-01	-1.312444e-01	-2.293906e-02	3.994782e-03	2.851246e-03	2.989845e-03	2.872704e-03	3.012347e-03	5.978224e+01	1.799452e+03	3.458740e+03	3.424049e+01	1.524788e+01	4.481923e+01	3.411297e+01	9.878851e+00	1.108045e+01	6.374640e+01	8.491545e+01	8.859554e+00	5.309797e+00	1.014864e+00	7.033336e-01	7.412496e+00	8.049513e-02	1.538508e-02	1.066235e-02	1.123715e-01	5.899775e-02	1.127627e-02	7.814818e-03	8.236107e-02
2.387870e+00	4.187833e-01	-3.128533e-02	8.311375e-03	1.279570e-01	1.273730e-01	-2.031367e-01	-1.395844e-01	-2.094159e-02	5.706544e-03	2.863236e-03	2.989822e-03	2.866484e-03	2.993214e-03	5.557751e+01	1.728922e+03	3.222064e+03	2.498769e+01	1.487775e+01	4.486896e+01	3.449472e+01	1.524290e+01	9.831877e+00	5.726153e+01	7.494564e+01	6.891769e+00	5.067923e+00	9.488118e-01	6.663538e-01	7.901275e+00	7.682837e-02	1.438374e-02	1.010175e-02	1.197812e-01	5.631025e-02	1.054235e-02	7.403931e-03	8.779194e-02
2.843310e+00	3.517028e-01	-2.720253e-02	8.419913e-03	1.361778e-01	1.384838e-01	-2.008623e-01	-1.572343e-01	-2.736550e-02	7.308332e-03	1.939260e-03	2.026242e-03	1.939105e-03	2.026080e-03	3.611925e+01	1.680283e+03	2.898382e+03	3.573660e+01	1.719870e+01	4.548103e+01	3.805372e+01	1.495265e+01	4.919584e+00	3.505948e+01	4.406586e+01	5.112536e+00	3.901956e+00	5.977448e-01	4.355512e-01	4.098413e+00	5.915262e-02	9.061654e-03	6.602842e-03	6.213086e-02	4.335506e-02	6.641609e-03	4.839458e-03	4.553792e-02
3.385610e+00	2.953677e-01	-3.013996e-02	1.094178e-02	1.631392e-01	1.713568e-01	-2.206805e-01	-1.805066e-01	-2.147077e-02	1.841702e-02	6.399913e-03	6.687858e-03	5.524201e-03	5.772746e-03	3.846145e+01	2.094050e+03	3.040679e+03	2.993377e+01	1.995253e+01	4.640731e+01	3.928160e+01	4.062205e+01	1.535336e+01	1.183852e+02	1.178342e+02	1.221743e+01	1.143591e+01	1.619581e+00	1.110180e+00	1.169260e+01	1.733653e-01	2.455243e-02	1.683004e-02	1.772567e-01	1.270656e-01	1.799535e-02	1.233534e-02	1.299178e-01
4.031340e+00	2.480565e-01	-2.176135e-02	1.312882e-02	1.597963e-01	1.734692e-01	-2.351798e-01	-1.991313e-01	-2.644953e-02	8.127045e-03	1.842783e-03	1.936974e-03	1.858706e-03	1.953711e-03	2.029276e+01	1.747599e+03	2.983420e+03	2.405347e+01	3.110296e+01	4.734936e+01	4.025523e+01	1.708042e+01	2.942762e+00	2.870484e+01	3.598970e+01	3.396719e+00	4.154383e+00	4.705502e-01	3.455863e-01	4.045522e+00	6.297936e-02	7.133418e-03	5.238997e-03	6.132905e-02	4.615981e-02	5.228336e-03	3.839848e-03	4.495025e-02
4.800240e+00	2.083229e-01	-1.771735e-02	9.846550e-03	1.687227e-01	1.921994e-01	-2.404383e-01	-2.214616e-01	-3.232756e-02	1.229752e-02	1.824084e-03	1.909927e-03	1.824388e-03	1.910244e-03	1.084027e+01	1.725750e+03	2.819328e+03	3.156366e+01	2.906345e+01	4.872165e+01	4.264738e+01	2.082699e+01	1.951051e+00	2.577563e+01	3.146977e+01	3.486472e+00	5.156098e+00	4.278820e-01	3.197721e-01	3.164401e+00	7.816509e-02	6.486579e-03	4.847661e-03	4.797148e-02	5.728997e-02	4.754244e-03	3.553023e-03	3.516001e-02
5.715780e+00	1.749542e-01	-2.303864e-02	9.853639e-03	1.850291e-01	2.181110e-01	-2.586417e-01	-2.514880e-01	-3.007025e-02	1.517377e-02	1.312363e-03	1.373089e-03	1.278836e-03	1.338011e-03	1.391255e+01	1.812722e+03	2.883709e+03	2.513768e+01	2.315642e+01	4.969121e+01	4.419658e+01	2.677601e+01	1.457319e+00	1.740451e+01	2.044504e+01	1.997191e+00	3.000825e+00	2.750572e-01	2.031090e-01	2.276078e+00	4.549171e-02	4.169795e-03	3.079079e-03	3.450474e-02	3.334250e-02	3.056191e-03	2.256767e-03	2.528975e-02
6.805950e+00	1.469303e-01	-2.078674e-02	8.972709e-03	2.093300e-01	2.485790e-01	-2.732249e-01	-3.088300e-01	-3.427647e-02	2.031611e-02	1.851497e-03	1.913271e-03	1.651717e-03	1.706826e-03	9.538902e+00	1.965300e+03	3.164037e+03	2.954393e+01	2.334771e+01	4.989905e+01	4.850050e+01	3.065577e+01	1.560138e+00	2.314098e+01	2.534821e+01	2.531128e+00	4.685515e+00	3.373227e-01	2.295083e-01	2.454361e+00	7.103117e-02	5.113723e-03	3.479285e-03	3.720747e-02	5.206127e-02	3.748030e-03	2.550092e-03	2.727068e-02
8.104040e+00	1.233952e-01	-1.684448e-02	1.242584e-02	2.255513e-01	2.789906e-01	-2.914216e-01	-3.508346e-01	-3.575583e-02	2.873769e-02	1.164962e-03	1.197185e-03	1.087141e-03	1.117212e-03	6.847305e+00	2.011491e+03	3.250843e+03	3.288694e+01	3.641546e+01	5.104603e+01	5.028520e+01	3.878955e+01	7.621771e-01	1.342470e+01	1.549774e+01	1.601886e+00	3.188812e+00	1.911962e-01	1.365730e-01	1.395406e+00	4.834155e-02	2.898483e-03	2.070411e-03	2.115399e-02	3.543124e-02	2.124402e-03	1.517478e-03	1.550451e-02
9.649720e+00	1.036299e-01	-1.488300e-02	1.411515e-02	2.425830e-01	3.062128e-01	-3.069419e-01	-3.864581e-01	-3.056935e-02	3.189624e-02	1.398283e-03	1.467015e-03	1.301727e-03	1.365713e-03	5.522178e+00	2.003026e+03	3.196739e+03	2.561788e+01	4.348320e+01	5.161360e+01	5.154186e+01	4.621689e+01	7.528839e-01	1.504374e+01	1.686363e+01	1.583831e+00	3.905802e+00	2.151601e-01	1.511251e-01	1.771162e+00	5.921093e-02	3.261771e-03	2.291017e-03	2.685035e-02	4.339780e-02	2.390668e-03	1.679168e-03	1.967958e-02
1.149020e+01	8.703069e-02	-1.296196e-02	1.305292e-02	2.666324e-01	3.422058e-01	-3.418966e-01	-4.486474e-01	-2.829696e-02	3.961312e-02	7.813834e-04	8.224451e-04	7.195732e-04	7.573868e-04	3.729938e+00	2.074421e+03	3.507136e+03	2.612256e+01	4.520033e+01	5.207577e+01	5.269040e+01	5.446053e+01	3.168738e-01	7.865507e+00	8.947930e+00	8.128248e-01	2.433758e+00	1.086232e-01	7.309079e-02	8.914025e-01	3.689513e-02	1.646699e-03	1.108037e-03	1.351343e-02	2.704175e-02	1.206924e-03	8.121199e-04	9.904472e-03
1.368170e+01	7.309033e-02	-9.510076e-03	1.228766e-02	2.980741e-01	3.918336e-01	-3.932409e-01	-5.228675e-01	-2.534037e-02	5.191946e-02	6.340248e-04	6.586227e-04	5.837605e-04	6.064083e-04	2.234899e+00	2.243728e+03	3.962262e+03	3.089768e+01	5.226179e+01	5.273917e+01	5.305372e+01	6.398435e+01	1.823897e-01	6.003257e+00	7.070846e+00	6.486242e-01	2.337949e+00	7.664951e-02	5.112353e-02	6.013952e-01	3.544269e-02	1.161986e-03	7.750193e-04	9.116993e-03	2.597721e-02	8.516612e-04	5.680392e-04	6.682169e-03
1.629120e+01	6.138283e-02	-4.729674e-03	1.047900e-02	3.220900e-01	4.412013e-01	-4.374202e-01	-5.839619e-01	-2.218247e-02	5.911796e-02	7.525754e-04	7.869114e-04	6.914035e-04	7.229485e-04	1.027591e+00	2.319834e+03	4.138594e+03	3.099580e+01	6.570806e+01	5.386946e+01	5.316473e+01	6.943271e+01	1.345299e-01	6.683636e+00	7.843621e+00	7.097696e-01	3.750517e+00	8.253699e-02	5.429457e-02	6.560050e-01	5.685685e-02	1.251239e-03	8.230915e-04	9.944863e-03	4.167241e-02	9.170777e-04	6.032730e-04	7.288944e-03
1.939840e+01	5.155064e-02	-5.999261e-03	6.631645e-03	3.621091e-01	4.851208e-01	-4.929708e-01	-6.514484e-01	-1.770695e-02	6.725409e-02	7.719537e-04	8.055316e-04	6.951585e-04	7.253960e-04	5.221204e-01	2.392638e+03	4.357466e+03	3.157831e+01	4.786620e+01	5.326121e+01	5.288410e+01	7.524966e+01	9.014232e-02	6.367563e+00	7.415715e+00	6.587518e-01	4.945962e+00	7.624105e-02	4.875416e-02	5.976206e-01	7.497948e-02	1.155794e-03	7.391002e-04	9.059771e-03	5.495513e-02	8.471227e-04	5.417129e-04	6.640229e-03
2.309830e+01	4.329323e-02	-2.862409e-03	4.667548e-03	4.023952e-01	5.454614e-01	-5.655345e-01	-7.239293e-01	-1.406738e-02	7.586881e-02	6.033016e-04	6.243633e-04	5.453999e-04	5.644402e-04	1.643815e-01	2.519234e+03	4.627248e+03	3.264651e+01	5.848098e+01	5.358324e+01	5.200300e+01	7.949567e+01	3.622481e-02	4.641055e+00	5.494416e+00	4.776188e-01	6.313144e+00	5.277653e-02	3.401664e-02	4.191190e-01	9.570560e-02	8.000784e-04	5.156833e-04	6.353734e-03	7.014604e-02	5.864059e-04	3.779627e-04	4.656878e-03
