# export_mt_object_to_txt
# station_id: 08-34
# lat: 45.827000000000005
# lon: 84.161
# profile_pos_m: -14405.263218861883
# n_freq: 39
# columns: freq_hz	period_s	Zxx_real	Zxx_imag	Zxy_real	Zxy_imag	Zyx_real	Zyx_imag	Zyy_real	Zyy_imag	Zxx_err	Zxy_err	Zyx_err	Zyy_err	rho_xx	rho_xy	rho_yx	rho_yy	phs_xx_deg	phs_xy_deg	phs_yx_deg	phs_yy_deg	rho_err_xx	rho_err_xy	rho_err_yx	rho_err_yy	phs_err_xx_deg	phs_err_xy_deg	phs_err_yx_deg	phs_err_yy_deg	rho_noise_std_log10_xx	rho_noise_std_log10_xy	rho_noise_std_log10_yx	rho_noise_std_log10_yy	phs_noise_std_norm_xx	phs_noise_std_norm_xy	phs_noise_std_norm_yx	phs_noise_std_norm_yy
freq_hz	period_s	Zxx_real	Zxx_imag	Zxy_real	Zxy_imag	Zyx_real	Zyx_imag	Zyy_real	Zyy_imag	Zxx_err	Zxy_err	Zyx_err	Zyy_err	rho_xx	rho_xy	rho_yx	rho_yy	phs_xx_deg	phs_xy_deg	phs_yx_deg	phs_yy_deg	rho_err_xx	rho_err_xy	rho_err_yx	rho_err_yy	phs_err_xx_deg	phs_err_xy_deg	phs_err_yx_deg	phs_err_yy_deg	rho_noise_std_log10_xx	rho_noise_std_log10_xy	rho_noise_std_log10_yx	rho_noise_std_log10_yy	phs_noise_std_norm_xx	phs_noise_std_norm_xy	phs_noise_std_norm_yx	phs_noise_std_norm_yy
1.187840e+00	8.418642e-01	9.670419e-03	3.375522e-03	2.440743e-02	1.774087e-02	-3.864647e-02	-2.844092e-02	-5.611079e-03	5.191792e-03	1.604073e-03	1.609557e-03	1.743458e-03	1.749418e-03	1.118598e+01	9.707642e+01	2.454934e+02	6.230952e+00	1.924187e+01	3.601204e+01	3.635029e+01	4.277732e+01	3.503623e+00	1.035665e+01	1.783970e+01	2.851852e+00	8.972967e+00	3.056317e+00	2.081807e+00	1.311189e+01	1.360278e-01	4.633296e-02	3.155964e-02	1.987728e-01	9.969963e-02	3.395908e-02	2.313118e-02	1.456877e-01
1.414400e+00	7.070136e-01	8.789977e-03	5.477632e-03	2.841659e-02	2.587231e-02	-4.254671e-02	-3.414681e-02	-5.726799e-03	3.380160e-03	1.034718e-03	1.051056e-03	1.111958e-03	1.129516e-03	9.605253e+00	1.322461e+02	2.665042e+02	3.959802e+00	3.192984e+01	4.231677e+01	3.874956e+01	3.055061e+01	1.919223e+00	7.233800e+00	1.086400e+01	1.345173e+00	5.724128e+00	1.567026e+00	1.167826e+00	9.731894e+00	8.677628e-02	2.375570e-02	1.770394e-02	1.475329e-01	6.360142e-02	1.741140e-02	1.297584e-02	1.081322e-01
1.684170e+00	5.937643e-01	8.737771e-03	7.674442e-03	3.010264e-02	2.940019e-02	-4.568565e-02	-3.691783e-02	-7.021243e-03	3.441996e-03	8.973396e-04	8.993117e-04	9.584955e-04	9.606019e-04	1.017063e+01	1.331466e+02	2.594517e+02	4.598187e+00	4.129305e+01	4.432364e+01	3.894111e+01	2.611530e+01	1.569542e+00	5.691378e+00	8.467604e+00	1.129741e+00	4.420972e+00	1.224560e+00	9.349676e-01	7.038578e+00	6.702077e-02	1.856401e-02	1.417386e-02	1.067030e-01	4.912191e-02	1.360622e-02	1.038853e-02	7.820643e-02
2.005380e+00	4.986586e-01	1.118482e-02	8.216929e-03	3.617763e-02	2.996679e-02	-5.328023e-02	-3.829750e-02	-6.913670e-03	8.525523e-03	8.471993e-04	8.489702e-04	9.130227e-04	9.149312e-04	1.216496e+01	1.393742e+02	2.719163e+02	7.609230e+00	3.630288e+01	3.963576e+01	3.570835e+01	5.096009e+01	1.485175e+00	5.037562e+00	7.567214e+00	1.268515e+00	3.497516e+00	1.035454e+00	7.972478e-01	4.775815e+00	5.302143e-02	1.569721e-02	1.208607e-02	7.240010e-02	3.886129e-02	1.150504e-02	8.858309e-03	5.306461e-02
2.387870e+00	4.187833e-01	1.005268e-02	8.712194e-03	3.752681e-02	3.426370e-02	-5.319447e-02	-4.137693e-02	-7.777101e-03	7.816177e-03	8.145107e-04	8.156986e-04	8.725286e-04	8.738011e-04	9.385806e+00	1.369620e+02	2.408897e+02	6.448329e+00	4.091396e+01	4.239751e+01	3.787730e+01	4.514358e+01	1.149377e+00	4.397031e+00	6.237615e+00	1.022035e+00	3.508192e+00	9.197126e-01	7.418106e-01	4.540581e+00	5.318328e-02	1.394260e-02	1.124565e-02	6.883402e-02	3.897992e-02	1.021903e-02	8.242340e-03	5.045090e-02
2.843310e+00	3.517028e-01	1.183368e-02	1.158838e-02	4.128278e-02	3.919843e-02	-5.952163e-02	-4.389117e-02	-6.916563e-03	9.765298e-03	5.504376e-04	5.463591e-04	5.846557e-04	5.803237e-04	1.221952e+01	1.443565e+02	2.436209e+02	6.378649e+00	4.439996e+01	4.351645e+01	3.640501e+01	5.469083e+01	8.121910e-01	2.770890e+00	3.851948e+00	6.186680e-01	1.904130e+00	5.498899e-01	4.529587e-01	2.778572e+00	2.886612e-02	8.336186e-03	6.866734e-03	4.212242e-02	2.115700e-02	6.109888e-03	5.032874e-03	3.087302e-02
3.385610e+00	2.953677e-01	1.339134e-02	1.260078e-02	4.833750e-02	4.332140e-02	-6.751602e-02	-4.586767e-02	-5.749049e-03	1.231235e-02	5.135211e-04	5.114129e-04	5.426960e-04	5.404681e-04	1.264819e+01	1.576127e+02	2.492267e+02	6.907358e+00	4.325788e+01	4.186757e+01	3.419061e+01	6.497054e+01	7.064625e-01	2.483614e+00	3.314138e+00	5.494684e-01	1.600123e+00	4.514247e-01	3.809505e-01	2.278890e+00	2.425744e-02	6.843481e-03	5.775110e-03	3.454738e-02	1.777914e-02	5.015830e-03	4.232784e-03	2.532100e-02
4.031340e+00	2.480565e-01	1.488053e-02	1.500335e-02	5.098868e-02	4.847517e-02	-7.014108e-02	-4.863548e-02	-3.830372e-03	1.406593e-02	4.823195e-04	4.798467e-04	5.061486e-04	5.035536e-04	1.402853e+01	1.555029e+02	2.288765e+02	6.676750e+00	4.523547e+01	4.355241e+01	3.473725e+01	7.476684e+01	6.404001e-01	2.121203e+00	2.714495e+00	4.612525e-01	1.307771e+00	3.907836e-01	3.397665e-01	1.979093e+00	1.982547e-02	5.924176e-03	5.150770e-03	3.000253e-02	1.453079e-02	4.342040e-03	3.775183e-03	2.198992e-02
4.800240e+00	2.083229e-01	1.662833e-02	1.656879e-02	5.746136e-02	5.401779e-02	-7.602140e-02	-5.019613e-02	-2.945192e-03	1.629516e-02	4.590131e-04	4.531885e-04	4.799604e-04	4.738700e-04	1.453849e+01	1.641039e+02	2.189616e+02	7.234774e+00	4.489724e+01	4.323071e+01	3.343636e+01	7.975495e+01	5.685759e-01	1.886001e+00	2.307242e+00	4.140715e-01	1.120370e+00	3.292424e-01	3.018684e-01	1.639619e+00	1.698452e-02	4.991228e-03	4.576246e-03	2.485620e-02	1.244856e-02	3.658249e-03	3.354094e-03	1.821799e-02
5.715780e+00	1.749542e-01	1.886984e-02	1.903185e-02	6.446423e-02	5.981971e-02	-8.109543e-02	-5.278213e-02	-3.324403e-04	1.676195e-02	2.826574e-04	2.803115e-04	2.932691e-04	2.908351e-04	1.591585e+01	1.713724e+02	2.074546e+02	6.228085e+00	4.524492e+01	4.285984e+01	3.305867e+01	8.886380e+01	3.357165e-01	1.092468e+00	1.257550e+00	2.160835e-01	6.042762e-01	1.826251e-01	1.736580e-01	9.939388e-01	9.160669e-03	2.768548e-03	2.632610e-03	1.506785e-02	6.714180e-03	2.029168e-03	1.929534e-03	1.104376e-02
