# export_mt_object_to_txt
# station_id: 09
# lat: 45.650999999999996
# lon: 84.354
# profile_pos_m: 10260.839432794926
# n_freq: 20
# columns: freq_hz	period_s	Zxx_real	Zxx_imag	Zxy_real	Zxy_imag	Zyx_real	Zyx_imag	Zyy_real	Zyy_imag	Zxx_err	Zxy_err	Zyx_err	Zyy_err	rho_xx	rho_xy	rho_yx	rho_yy	phs_xx_deg	phs_xy_deg	phs_yx_deg	phs_yy_deg	rho_err_xx	rho_err_xy	rho_err_yx	rho_err_yy	phs_err_xx_deg	phs_err_xy_deg	phs_err_yx_deg	phs_err_yy_deg	rho_noise_std_log10_xx	rho_noise_std_log10_xy	rho_noise_std_log10_yx	rho_noise_std_log10_yy	phs_noise_std_norm_xx	phs_noise_std_norm_xy	phs_noise_std_norm_yx	phs_noise_std_norm_yy
freq_hz	period_s	Zxx_real	Zxx_imag	Zxy_real	Zxy_imag	Zyx_real	Zyx_imag	Zyy_real	Zyy_imag	Zxx_err	Zxy_err	Zyx_err	Zyy_err	rho_xx	rho_xy	rho_yx	rho_yy	phs_xx_deg	phs_xy_deg	phs_yx_deg	phs_yy_deg	rho_err_xx	rho_err_xy	rho_err_yx	rho_err_yy	phs_err_xx_deg	phs_err_xy_deg	phs_err_yx_deg	phs_err_yy_deg	rho_noise_std_log10_xx	rho_noise_std_log10_xy	rho_noise_std_log10_yx	rho_noise_std_log10_yy	phs_noise_std_norm_xx	phs_noise_std_norm_xy	phs_noise_std_norm_yx	phs_noise_std_norm_yy
1.187840e+00	8.418642e-01	-2.308197e-04	-8.498872e-03	3.993833e-02	2.948068e-02	-1.297053e-01	-8.604523e-02	-6.104128e-02	6.647594e-03	9.262346e-03	9.255769e-03	9.673527e-03	9.666658e-03	7.707173e+00	2.627392e+02	2.583190e+03	4.019944e+02	8.844429e+01	3.643308e+01	3.355991e+01	6.215203e+00	1.679286e+01	9.797858e+01	3.210844e+02	1.265734e+02	6.241978e+01	1.068314e+01	3.560865e+00	9.020178e+00	9.462675e-01	1.619536e-01	5.398177e-02	1.367435e-01	6.935532e-01	1.187015e-01	3.956516e-02	1.002242e-01
1.684170e+00	5.937643e-01	-8.196764e-04	-5.575842e-03	5.785078e-02	4.856369e-02	-1.975319e-01	-1.210299e-01	-7.327956e-02	2.698269e-03	5.279246e-03	5.251330e-03	5.468551e-03	5.439633e-03	2.388530e+00	4.290333e+02	4.035826e+03	4.043696e+02	8.163714e+01	4.001228e+01	3.149624e+01	2.108768e+00	4.474860e+00	5.965639e+01	1.905376e+02	5.999306e+01	5.367121e+01	3.983443e+00	1.352511e+00	4.250257e+00	8.136415e-01	6.038794e-02	2.050371e-02	6.443278e-02	5.963468e-01	4.426047e-02	1.502790e-02	4.722508e-02
2.387870e+00	4.187833e-01	-1.379717e-03	-5.734881e-03	6.955146e-02	5.958581e-02	-2.214053e-01	-1.646299e-01	-7.820135e-02	1.225670e-02	4.620609e-03	4.599111e-03	4.793123e-03	4.770823e-03	1.845377e+00	4.448888e+02	4.037543e+03	3.323285e+02	7.647267e+01	4.058718e+01	3.663332e+01	8.907650e+00	2.891156e+00	4.468168e+01	1.402836e+02	4.005963e+01	4.488272e+01	2.877204e+00	9.953652e-01	3.453281e+00	6.804102e-01	4.361765e-02	1.508947e-02	5.235083e-02	4.986968e-01	3.196893e-02	1.105961e-02	3.836979e-02
3.385610e+00	2.953677e-01	-3.563860e-04	-6.497199e-03	9.397443e-02	7.674588e-02	-2.920393e-01	-2.095010e-01	-9.252744e-02	1.058579e-02	2.441362e-03	2.427022e-03	2.523687e-03	2.508863e-03	1.583909e+00	5.506990e+02	4.832375e+03	3.244606e+02	8.686034e+01	3.923740e+01	3.565461e+01	6.526665e+00	1.188541e+00	2.203168e+01	6.786290e+01	1.748134e+01	2.149693e+01	1.146109e+00	4.023133e-01	1.543495e+00	3.258878e-01	1.737471e-02	6.098964e-03	2.339898e-02	2.388547e-01	1.273454e-02	4.470148e-03	1.714995e-02
4.800240e+00	2.083229e-01	1.138979e-04	-7.737408e-03	1.114144e-01	9.034000e-02	-3.264080e-01	-2.464023e-01	-9.946375e-02	2.116495e-02	2.376075e-03	2.359229e-03	2.446620e-03	2.429274e-03	1.579910e+00	5.428454e+02	4.412958e+03	2.728409e+02	8.915664e+01	3.903676e+01	3.704881e+01	1.201283e+01	9.702418e-01	1.785714e+01	5.280013e+01	1.303572e+01	1.759301e+01	9.423849e-01	3.427661e-01	1.368731e+00	2.667054e-01	1.428631e-02	5.196244e-03	2.074960e-02	1.954779e-01	1.047094e-02	3.808512e-03	1.520812e-02
6.805950e+00	1.469303e-01	-4.686015e-04	-1.028573e-02	1.343924e-01	1.140941e-01	-3.846766e-01	-3.396474e-01	-1.063171e-01	2.181902e-02	1.168824e-03	1.153289e-03	1.196274e-03	1.180375e-03	1.972843e+00	5.783430e+02	4.900411e+03	2.192022e+02	8.739150e+01	4.032999e+01	4.144266e+01	1.159754e+01	4.479050e-01	7.566963e+00	2.284745e+01	4.767966e+00	6.504083e+00	3.748252e-01	1.335666e-01	6.231333e-01	9.860019e-02	5.682251e-03	2.024835e-03	9.446536e-03	7.226759e-02	4.164724e-03	1.484074e-03	6.923703e-03
9.649720e+00	1.036299e-01	1.814654e-03	-1.232119e-02	1.544042e-01	1.322791e-01	-4.487728e-01	-4.129821e-01	-1.033298e-01	1.953303e-02	1.251730e-03	1.255131e-03	1.279432e-03	1.282908e-03	2.035731e+00	5.425620e+02	4.881817e+03	1.451427e+02	8.162176e+01	4.058687e+01	4.262174e+01	1.070463e+01	4.092123e-01	6.698714e+00	2.048263e+01	3.541366e+00	5.758654e+00	3.536997e-01	1.201979e-01	6.989854e-01	8.729968e-02	5.361994e-03	1.822169e-03	1.059644e-02	6.398505e-02	3.929997e-03	1.335532e-03	7.766505e-03
1.368170e+01	7.309033e-02	-2.898806e-03	-1.833225e-02	1.810960e-01	1.617889e-01	-5.600924e-01	-5.416551e-01	-9.793375e-02	2.827350e-02	5.003223e-04	4.942769e-04	5.096406e-04	5.034826e-04	3.188799e+00	5.458985e+02	5.619866e+03	9.618402e+01	8.101444e+01	4.177720e+01	4.404127e+01	1.610344e+01	1.719208e-01	2.222242e+00	7.351773e+00	9.501694e-01	1.544522e+00	1.166197e-01	3.747648e-02	2.830028e-01	2.341454e-02	1.767925e-03	5.681336e-04	4.290248e-03	1.716135e-02	1.295775e-03	4.164053e-04	3.144476e-03
1.939840e+01	5.155064e-02	-4.893225e-03	-2.365914e-02	2.021489e-01	1.931310e-01	-6.575894e-01	-6.402631e-01	-8.752489e-02	2.925746e-02	6.544284e-04	6.465225e-04	6.658931e-04	6.578488e-04	3.810949e+00	5.103285e+02	5.499744e+03	5.560462e+01	7.831474e+01	4.369309e+01	4.423515e+01	1.848354e+01	2.064576e-01	2.360265e+00	7.980460e+00	7.927453e-01	1.551995e+00	1.324962e-01	4.156982e-02	4.084279e-01	2.352784e-02	2.008608e-03	6.301875e-04	6.191660e-03	1.724439e-02	1.472181e-03	4.618868e-04	4.538088e-03
2.750380e+01	3.635861e-02	-1.042289e-02	-3.188954e-02	2.363079e-01	2.463471e-01	-8.170103e-01	-7.754258e-01	-8.178662e-02	3.528371e-02	5.782502e-04	5.660616e-04	5.896410e-04	5.772124e-04	5.183148e+00	5.365980e+02	5.842620e+03	3.653502e+01	7.190035e+01	4.619157e+01	4.350413e+01	2.333594e+01	1.786699e-01	1.779619e+00	6.116885e+00	4.735099e-01	9.875302e-01	9.501028e-02	2.999268e-02	3.712892e-01	1.497070e-02	1.440331e-03	4.546812e-04	5.628647e-03	1.097256e-02	1.055670e-03	3.332520e-04	4.125436e-03
