# export_mt_object_to_txt
# station_id: 35
# lat: 45.833000000000006
# lon: 84.15100000000001
# profile_pos_m: -15412.270368460355
# n_freq: 20
# columns: freq_hz	period_s	Zxx_real	Zxx_imag	Zxy_real	Zxy_imag	Zyx_real	Zyx_imag	Zyy_real	Zyy_imag	Zxx_err	Zxy_err	Zyx_err	Zyy_err	rho_xx	rho_xy	rho_yx	rho_yy	phs_xx_deg	phs_xy_deg	phs_yx_deg	phs_yy_deg	rho_err_xx	rho_err_xy	rho_err_yx	rho_err_yy	phs_err_xx_deg	phs_err_xy_deg	phs_err_yx_deg	phs_err_yy_deg	rho_noise_std_log10_xx	rho_noise_std_log10_xy	rho_noise_std_log10_yx	rho_noise_std_log10_yy	phs_noise_std_norm_xx	phs_noise_std_norm_xy	phs_noise_std_norm_yx	phs_noise_std_norm_yy
freq_hz	period_s	Zxx_real	Zxx_imag	Zxy_real	Zxy_imag	Zyx_real	Zyx_imag	Zyy_real	Zyy_imag	Zxx_err	Zxy_err	Zyx_err	Zyy_err	rho_xx	rho_xy	rho_yx	rho_yy	phs_xx_deg	phs_xy_deg	phs_yx_deg	phs_yy_deg	rho_err_xx	rho_err_xy	rho_err_yx	rho_err_yy	phs_err_xx_deg	phs_err_xy_deg	phs_err_yx_deg	phs_err_yy_deg	rho_noise_std_log10_xx	rho_noise_std_log10_xy	rho_noise_std_log10_yx	rho_noise_std_log10_yy	phs_noise_std_norm_xx	phs_noise_std_norm_xy	phs_noise_std_norm_yx	phs_noise_std_norm_yy
1.187840e+00	8.418642e-01	8.928227e-03	6.886917e-03	4.074747e-02	3.625980e-02	-9.426650e-02	-7.755445e-02	-3.894201e-02	-1.543858e-02	3.671405e-03	3.720579e-03	3.752222e-03	3.802479e-03	1.355640e+01	3.172182e+02	1.588780e+03	1.871059e+02	3.764532e+01	4.166481e+01	3.944464e+01	2.162588e+01	8.827964e+00	4.327587e+01	9.767346e+01	3.396774e+01	1.865558e+01	3.908232e+00	1.761187e+00	5.200822e+00	2.828138e-01	5.924777e-02	2.669913e-02	7.884309e-02	2.072843e-01	4.342480e-02	1.956874e-02	5.778691e-02
1.684170e+00	5.937643e-01	5.392889e-03	2.980468e-03	5.156617e-02	4.931052e-02	-1.198153e-01	-9.650864e-02	-4.682465e-02	-1.351146e-02	2.135394e-03	2.151103e-03	2.198527e-03	2.214701e-03	2.855119e+00	3.828186e+02	1.779982e+03	1.786108e+02	2.892795e+01	4.371905e+01	3.885071e+01	1.609573e+01	1.978938e+00	2.308341e+01	5.087235e+01	1.623346e+01	1.985641e+01	1.727426e+00	8.187644e-01	2.603731e+00	3.010179e-01	2.618733e-02	1.241225e-02	3.947188e-02	2.206267e-01	1.919362e-02	9.097382e-03	2.893034e-02
2.387870e+00	4.187833e-01	6.413082e-03	4.937731e-03	5.894777e-02	6.050716e-02	-1.391143e-01	-1.004111e-01	-4.632752e-02	-1.979985e-03	1.823091e-03	1.846573e-03	1.877683e-03	1.901867e-03	3.474556e+00	3.784877e+02	1.561228e+03	1.140434e+02	3.759435e+01	4.574791e+01	3.582132e+01	2.447266e+00	1.565265e+00	1.654711e+01	3.417317e+01	9.355028e+00	1.290569e+01	1.252457e+00	6.270635e-01	2.349998e+00	1.956469e-01	1.898692e-02	9.506117e-03	3.562535e-02	1.433966e-01	1.391619e-02	6.967372e-03	2.611109e-02
3.385610e+00	2.953677e-01	3.900349e-03	5.484151e-03	7.987488e-02	7.867613e-02	-1.716135e-01	-1.159845e-01	-4.786933e-02	7.936557e-03	1.203236e-03	1.216159e-03	1.234807e-03	1.248070e-03	1.694192e+00	4.702256e+02	1.604970e+03	8.807748e+01	5.457942e+01	4.456682e+01	3.405268e+01	9.413794e+00	6.058270e-01	1.020141e+01	1.913591e+01	4.530936e+00	1.024421e+01	6.215080e-01	3.415661e-01	1.473722e+00	1.552996e-01	9.421898e-03	5.178052e-03	2.234124e-02	1.138246e-01	6.905644e-03	3.795179e-03	1.637469e-02
4.800240e+00	2.083229e-01	2.975963e-03	6.484721e-03	9.384681e-02	9.469437e-02	-1.899492e-01	-1.295936e-01	-4.181057e-02	1.817186e-02	1.139647e-03	1.144381e-03	1.177093e-03	1.181982e-03	1.343176e+00	4.689629e+02	1.395081e+03	5.483577e+01	6.534870e+01	4.525756e+01	3.430392e+01	2.349090e+01	4.290823e-01	8.050886e+00	1.428282e+01	2.843457e+00	9.151666e+00	4.918105e-01	2.932968e-01	1.485509e+00	1.387369e-01	7.455718e-03	4.446302e-03	2.251993e-02	1.016852e-01	5.464561e-03	3.258853e-03	1.650566e-02
6.805950e+00	1.469303e-01	1.682680e-03	1.095390e-02	1.148724e-01	1.210890e-01	-2.143012e-01	-1.541862e-01	-3.277678e-02	2.532627e-02	6.232195e-04	6.176309e-04	6.481891e-04	6.423766e-04	2.285536e+00	5.184114e+02	1.297013e+03	3.192805e+01	8.126679e+01	4.650915e+01	3.573440e+01	3.769288e+01	2.570548e-01	3.836693e+00	6.368902e+00	9.902998e-01	3.222036e+00	2.120192e-01	1.406737e-01	8.885604e-01	4.884522e-02	3.214155e-03	2.132577e-03	1.347034e-02	3.580040e-02	2.355769e-03	1.563042e-03	9.872893e-03
9.649720e+00	1.036299e-01	5.877822e-03	1.422145e-02	1.398538e-01	1.441755e-01	-2.404724e-01	-1.765158e-01	-2.480441e-02	2.484048e-02	6.392987e-04	6.445133e-04	6.681949e-04	6.736452e-04	3.107953e+00	5.295322e+02	1.167915e+03	1.617391e+01	6.754436e+01	4.587171e+01	3.628007e+01	4.504163e+01	2.582372e-01	3.398254e+00	5.232228e+00	6.207496e-01	2.380329e+00	1.838468e-01	1.283417e-01	1.099497e+00	3.608517e-02	2.787069e-03	1.945627e-03	1.666809e-02	2.644810e-02	2.042742e-03	1.426019e-03	1.221664e-02
1.368170e+01	7.309033e-02	1.179914e-02	1.952633e-02	1.773979e-01	1.729232e-01	-2.785892e-01	-2.192255e-01	-1.193774e-02	2.182870e-02	2.464455e-04	2.436546e-04	2.577187e-04	2.548002e-04	4.818241e+00	5.681247e+02	1.163343e+03	5.730101e+00	5.885677e+01	4.426820e+01	3.819967e+01	6.132651e+01	1.040951e-01	1.117536e+00	1.691472e+00	1.173670e-01	6.189197e-01	5.635216e-02	4.165333e-02	5.867814e-01	9.382660e-03	8.542839e-04	6.314535e-04	8.895451e-03	6.876885e-03	6.261351e-04	4.628147e-04	6.519793e-03
1.939840e+01	5.155064e-02	1.810856e-02	2.157540e-02	2.103551e-01	1.978184e-01	-3.160627e-01	-2.625179e-01	-2.198402e-03	1.189299e-02	2.773894e-04	2.776607e-04	2.938021e-04	2.940895e-04	5.180197e+00	5.443943e+02	1.102163e+03	9.550321e-01	4.999276e+01	4.324077e+01	3.971261e+01	7.952717e+01	1.020270e-01	1.046944e+00	1.576268e+00	4.644518e-02	5.642369e-01	5.509376e-02	4.097102e-02	1.393206e+00	8.553683e-03	8.352069e-04	6.211099e-04	2.112063e-02	6.269299e-03	6.121529e-04	4.552336e-04	1.548007e-02
2.750380e+01	3.635861e-02	2.977054e-02	2.414253e-02	2.551692e-01	2.309056e-01	-3.760836e-01	-3.219820e-01	-1.624132e-03	-4.739554e-03	3.873179e-03	3.853075e-03	3.449449e-03	3.431544e-03	6.765234e+00	5.453491e+02	1.128706e+03	1.155877e-01	3.904046e+01	4.214232e+01	4.056831e+01	7.108464e+01	1.367249e+00	1.221191e+01	1.572820e+01	1.583377e-01	5.789720e+00	6.415072e-01	3.992002e-01	3.924327e+01	8.777064e-02	9.725081e-03	6.051770e-03	5.949176e-01	6.433023e-02	7.127858e-03	4.435558e-03	4.360363e-01
