# export_mt_object_to_txt
# lat: 47.075064805555556
# lon: -123.12155027777777
# n_freq: 17
# columns: freq_hz	period_s	Zxx_real	Zxx_imag	Zxy_real	Zxy_imag	Zyx_real	Zyx_imag	Zyy_real	Zyy_imag	Zxx_err	Zxy_err	Zyx_err	Zyy_err	rho_xx	rho_xy	rho_yx	rho_yy	phs_xx_deg	phs_xy_deg	phs_yx_deg	phs_yy_deg	rho_err_xx	rho_err_xy	rho_err_yx	rho_err_yy	phs_err_xx_deg	phs_err_xy_deg	phs_err_yx_deg	phs_err_yy_deg	rho_noise_std_log10_xx	rho_noise_std_log10_xy	rho_noise_std_log10_yx	rho_noise_std_log10_yy	phs_noise_std_norm_xx	phs_noise_std_norm_xy	phs_noise_std_norm_yx	phs_noise_std_norm_yy
freq_hz	period_s	Zxx_real	Zxx_imag	Zxy_real	Zxy_imag	Zyx_real	Zyx_imag	Zyy_real	Zyy_imag	Zxx_err	Zxy_err	Zyx_err	Zyy_err	rho_xx	rho_xy	rho_yx	rho_yy	phs_xx_deg	phs_xy_deg	phs_yx_deg	phs_yy_deg	rho_err_xx	rho_err_xy	rho_err_yx	rho_err_yy	phs_err_xx_deg	phs_err_xy_deg	phs_err_yx_deg	phs_err_yy_deg	rho_noise_std_log10_xx	rho_noise_std_log10_xy	rho_noise_std_log10_yx	rho_noise_std_log10_yy	phs_noise_std_norm_xx	phs_noise_std_norm_xy	phs_noise_std_norm_yx	phs_noise_std_norm_yy
2.154430e-04	4.641599e+03	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3.162270e-04	3.162285e+03	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4.641580e-04	2.154439e+03	-1.641541e-03	-9.686781e-04	3.282087e-03	1.257062e-03	-6.202195e-04	-5.929923e-04	7.641153e-04	1.504423e-04	2.096388e-04	2.087098e-04	2.035989e-04	2.027022e-04	9.913095e+02	3.370485e+03	2.009122e+02	1.654927e+02	3.054497e+01	2.095718e+01	4.371437e+01	1.113818e+01	2.180613e+02	4.003052e+02	9.534122e+01	8.614898e+01	6.301762e+00	3.402448e+00	1.359462e+01	1.491296e+01	9.553305e-02	5.158022e-02	2.060908e-01	2.260766e-01	7.001957e-02	3.780498e-02	1.510513e-01	1.656996e-01
6.812920e-04	1.467799e+03	-1.988253e-03	-9.019003e-04	3.480945e-03	1.310821e-03	-8.207142e-04	-6.422626e-04	7.934014e-04	1.065570e-04	2.012783e-04	1.969080e-04	1.990825e-04	1.947412e-04	8.861014e+02	2.571954e+03	2.018999e+02	1.191315e+02	2.439973e+01	2.063489e+01	3.804551e+01	7.649279e+00	1.633831e+02	2.723099e+02	7.713821e+01	5.796150e+01	5.282218e+00	3.033143e+00	1.094526e+01	1.393816e+01	8.007704e-02	4.598165e-02	1.659273e-01	2.112989e-01	5.869131e-02	3.370159e-02	1.216140e-01	1.548685e-01
1.000000e-03	1.000000e+03	-2.236557e-03	-7.971040e-04	3.757702e-03	1.426341e-03	-9.364090e-04	-7.049528e-04	8.071295e-04	5.249554e-05	1.729724e-04	1.702543e-04	1.716059e-04	1.689142e-04	7.140057e+02	2.046026e+03	1.739964e+02	8.285714e+01	1.961595e+01	2.078567e+01	3.697338e+01	3.721265e+00	1.040310e+02	1.733360e+02	5.094922e+01	3.460718e+01	4.174012e+00	2.427003e+00	8.388609e+00	1.196545e+01	6.327692e-02	3.679273e-02	1.271691e-01	1.813930e-01	4.637791e-02	2.696670e-02	9.320676e-02	1.329494e-01
1.467800e-03	6.812917e+02	-2.459638e-03	-6.075663e-04	4.030982e-03	1.657220e-03	-1.075503e-03	-8.237973e-04	8.554306e-04	-1.459807e-05	1.723278e-04	1.689341e-04	1.716995e-04	1.683139e-04	5.538701e+02	1.639031e+03	1.583659e+02	6.315961e+01	1.387513e+01	2.234858e+01	3.745085e+01	9.776675e-01	7.534613e+01	1.270611e+02	4.014225e+01	2.485086e+01	3.897137e+00	2.220844e+00	7.261604e+00	1.127184e+01	5.907957e-02	3.366741e-02	1.100840e-01	1.708781e-01	4.330152e-02	2.467604e-02	8.068449e-02	1.252426e-01
2.154430e-03	4.641599e+02	-2.648218e-03	-3.489636e-04	4.336590e-03	1.972244e-03	-1.236245e-03	-8.897139e-04	8.384712e-04	-3.015102e-05	1.695095e-04	1.679690e-04	1.675896e-04	1.654737e-04	4.194323e+02	1.334205e+03	1.363784e+02	4.138237e+01	7.506784e+00	2.445564e+01	3.574221e+01	2.059441e+00	5.323460e+01	9.408260e+01	3.001158e+01	1.632321e+01	3.636007e+00	2.020130e+00	6.304285e+00	1.130011e+01	5.512091e-02	3.062464e-02	9.557130e-02	1.713068e-01	4.040008e-02	2.244589e-02	7.004761e-02	1.255568e-01
3.162270e-03	3.162285e+02	-2.719805e-03	-2.283999e-05	4.623937e-03	2.442486e-03	-1.371109e-03	-1.040766e-03	8.175405e-04	-6.379584e-05	1.732710e-04	1.717595e-04	1.704692e-04	1.680923e-04	2.962903e+02	1.095251e+03	1.186759e+02	2.693186e+01	4.811391e-01	2.784421e+01	3.720100e+01	4.461969e+00	3.775028e+01	7.194707e+01	2.350513e+01	1.104121e+01	3.650022e+00	1.881881e+00	5.674047e+00	1.174473e+01	5.533337e-02	2.852882e-02	8.601706e-02	1.780470e-01	4.055579e-02	2.090979e-02	6.304496e-02	1.304970e-01
4.641580e-03	2.154439e+02	-2.617004e-03	3.791034e-04	5.078302e-03	3.131840e-03	-1.512311e-03	-1.220049e-03	7.889404e-04	-7.946161e-05	1.691020e-04	1.702760e-04	1.635985e-04	1.626324e-04	1.907974e+02	9.713254e+02	1.030222e+02	1.715601e+01	8.242623e+00	3.166255e+01	3.889468e+01	5.751401e+00	2.440265e+01	5.544189e+01	1.734790e+01	7.037486e+00	3.664016e+00	1.635181e+00	4.824016e+00	1.175152e+01	5.554551e-02	2.478892e-02	7.313081e-02	1.781499e-01	4.071128e-02	1.816868e-02	5.360017e-02	1.305724e-01
6.812920e-03	1.467799e+02	-2.414708e-03	6.711926e-04	5.706309e-03	3.975054e-03	-1.680533e-03	-1.568979e-03	7.563678e-04	-9.742055e-05	1.558884e-04	1.640308e-04	1.470369e-04	1.498812e-04	1.167689e+02	8.990634e+02	9.826409e+01	1.081157e+01	1.553381e+01	3.486133e+01	4.303383e+01	7.339317e+00	1.452600e+01	4.241203e+01	1.256875e+01	4.249717e+00	3.563783e+00	1.351423e+00	3.664292e+00	1.126066e+01	5.402601e-02	2.048722e-02	5.554970e-02	1.707087e-01	3.959759e-02	1.501581e-02	4.071435e-02	1.251185e-01
