# export_mt_object_to_txt
# station_id: B06
# lat: 47.014
# lon: -125.16299722222223
# profile_pos_m: -96203.89122758812
# n_freq: 17
# columns: freq_hz	period_s	Zxx_real	Zxx_imag	Zxy_real	Zxy_imag	Zyx_real	Zyx_imag	Zyy_real	Zyy_imag	Zxx_err	Zxy_err	Zyx_err	Zyy_err	rho_xx	rho_xy	rho_yx	rho_yy	phs_xx_deg	phs_xy_deg	phs_yx_deg	phs_yy_deg	rho_err_xx	rho_err_xy	rho_err_yx	rho_err_yy	phs_err_xx_deg	phs_err_xy_deg	phs_err_yx_deg	phs_err_yy_deg	rho_noise_std_log10_xx	rho_noise_std_log10_xy	rho_noise_std_log10_yx	rho_noise_std_log10_yy	phs_noise_std_norm_xx	phs_noise_std_norm_xy	phs_noise_std_norm_yx	phs_noise_std_norm_yy
freq_hz	period_s	Zxx_real	Zxx_imag	Zxy_real	Zxy_imag	Zyx_real	Zyx_imag	Zyy_real	Zyy_imag	Zxx_err	Zxy_err	Zyx_err	Zyy_err	rho_xx	rho_xy	rho_yx	rho_yy	phs_xx_deg	phs_xy_deg	phs_yx_deg	phs_yy_deg	rho_err_xx	rho_err_xy	rho_err_yx	rho_err_yy	phs_err_xx_deg	phs_err_xy_deg	phs_err_yx_deg	phs_err_yy_deg	rho_noise_std_log10_xx	rho_noise_std_log10_xy	rho_noise_std_log10_yx	rho_noise_std_log10_yy	phs_noise_std_norm_xx	phs_noise_std_norm_xy	phs_noise_std_norm_yx	phs_noise_std_norm_yy
2.154430e-04	4.641599e+03	4.029916e-06	4.324298e-06	7.111946e-05	1.227807e-04	-1.167625e-04	-1.236632e-04	1.723864e-05	-3.120683e-05	3.330538e-06	3.314821e-06	4.230897e-06	4.210868e-06	2.053989e-02	1.183555e+01	1.700463e+01	7.471988e-01	4.701813e+01	5.991888e+01	4.664406e+01	6.108376e+01	2.314634e-02	5.529974e-01	8.460286e-01	1.765057e-01	3.228323e+01	1.338528e+00	1.425314e+00	6.767296e+00	4.894053e-01	2.029173e-02	2.160738e-02	1.025904e-01	3.587026e-01	1.487253e-02	1.583682e-02	7.519218e-02
3.162270e-04	3.162285e+03	1.572428e-05	1.174079e-05	1.057329e-04	1.543577e-04	-1.505068e-04	-1.348896e-04	-2.461532e-06	-7.201405e-05	3.594692e-06	3.365997e-06	4.925318e-06	4.567005e-06	1.542353e-01	1.402009e+01	1.635975e+01	2.079471e+00	3.674746e+01	5.558941e+01	4.186783e+01	8.804232e+01	5.650532e-02	5.044577e-01	7.973672e-01	2.635989e-01	1.049538e+01	1.030782e+00	1.396286e+00	3.631478e+00	1.591072e-01	1.562638e-02	2.116732e-02	5.505225e-02	1.166153e-01	1.145313e-02	1.551428e-02	4.034975e-02
4.641580e-04	2.154439e+03	2.479830e-05	1.737655e-05	1.478952e-04	1.787988e-04	-1.970755e-04	-1.570284e-04	-2.324351e-05	-8.345542e-05	3.923996e-06	3.750908e-06	5.916476e-06	5.745678e-06	2.501880e-01	1.469149e+01	1.732588e+01	2.047854e+00	3.501952e+01	5.040382e+01	3.854758e+01	7.443673e+01	6.484315e-02	4.749758e-01	8.136039e-01	2.716395e-01	7.424893e+00	9.261863e-01	1.345272e+00	3.800026e+00	1.125594e-01	1.404074e-02	2.039398e-02	5.760740e-02	8.249881e-02	1.029096e-02	1.494747e-02	4.222251e-02
6.812920e-04	1.467799e+03	3.426955e-05	1.611973e-05	1.967179e-04	2.051702e-04	-2.538639e-04	-1.768477e-04	-4.150349e-05	-8.254840e-05	4.421707e-06	4.979774e-06	7.156995e-06	8.030554e-06	2.666252e-01	1.501929e+01	1.779462e+01	1.586978e+00	2.519137e+01	4.620485e+01	3.486199e+01	6.330777e+01	6.225999e-02	5.262630e-01	8.232725e-01	2.758668e-01	6.689606e+00	1.003798e+00	1.325402e+00	4.979906e+00	1.014127e-01	1.521731e-02	2.009274e-02	7.549406e-02	7.432896e-02	1.115331e-02	1.472668e-02	5.533229e-02
1.000000e-03	1.000000e+03	5.280206e-05	3.176913e-06	2.575210e-04	2.353806e-04	-3.050890e-04	-1.817235e-04	-6.174942e-05	-9.240452e-05	5.154196e-06	6.127115e-06	8.327049e-06	9.898139e-06	3.543899e-01	1.541615e+01	1.597110e+01	1.564347e+00	3.443133e+00	4.242809e+01	3.077976e+01	5.624713e+01	6.906161e-02	5.414760e-01	7.490204e-01	2.786475e-01	5.582748e+00	1.006227e+00	1.343543e+00	5.102873e+00	8.463299e-02	1.525413e-02	2.036776e-02	7.735822e-02	6.203053e-02	1.118030e-02	1.492825e-02	5.669859e-02
1.467800e-03	6.812917e+02	4.335084e-05	-2.193183e-05	3.332294e-04	2.132501e-04	-3.386465e-04	-1.845075e-04	-7.244736e-05	-6.439536e-05	4.007428e-06	4.805463e-06	5.582685e-06	6.694273e-06	2.036623e-01	1.350536e+01	1.283293e+01	8.106957e-01	2.683553e+01	3.261720e+01	2.858322e+01	4.163253e+01	3.359872e-02	3.280877e-01	3.715418e-01	1.119783e-01	4.726120e+00	6.959474e-01	8.294201e-01	3.957025e+00	7.164674e-02	1.055038e-02	1.257379e-02	5.998746e-02	5.251244e-02	7.732749e-03	9.215778e-03	4.396694e-02
2.154430e-03	4.641599e+02	3.674802e-05	-2.333880e-05	3.828825e-04	1.743118e-04	-3.659293e-04	-1.829640e-04	-9.651338e-05	-4.542655e-05	3.633622e-06	4.156071e-06	4.939231e-06	5.643087e-06	1.114074e-01	1.040425e+01	9.839694e+00	6.688969e-01	3.241978e+01	2.447796e+01	2.656497e+01	2.520525e+01	1.859797e-02	2.055689e-01	2.375850e-01	7.077263e-02	4.782383e+00	5.660294e-01	6.917197e-01	3.031089e+00	7.249967e-02	8.580858e-03	1.048629e-02	4.595052e-02	5.313759e-02	6.289216e-03	7.685775e-03	3.367877e-02
3.162270e-03	3.162285e+02	3.197773e-05	-3.174860e-05	4.042386e-04	1.581860e-04	-4.045110e-04	-1.869235e-04	-9.713199e-05	-2.076023e-05	3.576533e-06	4.003492e-06	4.778932e-06	5.348725e-06	8.132513e-02	7.546840e+00	7.952872e+00	3.951257e-01	4.479399e+01	2.137132e+01	2.480153e+01	1.206443e+01	1.290953e-02	1.392058e-01	1.705802e-01	4.255529e-02	4.547557e+00	5.284267e-01	6.144650e-01	3.085396e+00	6.893977e-02	8.010810e-03	9.315128e-03	4.677379e-02	5.052841e-02	5.871407e-03	6.827389e-03	3.428218e-02
4.641580e-03	2.154439e+02	2.550379e-05	-3.342578e-05	4.195273e-04	1.543347e-04	-4.480074e-04	-1.945699e-04	-9.901442e-05	-1.045437e-05	3.094049e-06	3.374857e-06	4.020516e-06	4.389997e-06	4.823468e-02	5.452410e+00	6.509637e+00	2.704930e-01	5.265646e+01	2.019744e+01	2.347534e+01	6.027204e+00	7.099195e-03	8.232882e-02	1.071673e-01	2.385308e-02	4.216405e+00	4.325696e-01	4.716266e-01	2.526277e+00	6.391959e-02	6.557641e-03	7.149735e-03	3.829770e-02	4.684894e-02	4.806329e-03	5.240295e-03	2.806975e-02
6.812920e-03	1.467799e+02	1.721899e-05	-2.967938e-05	4.422878e-04	1.575188e-04	-4.915113e-04	-2.117646e-04	-1.060866e-04	-1.287424e-05	1.775503e-06	1.852413e-06	2.184520e-06	2.277719e-06	2.188699e-02	4.097783e+00	5.324660e+00	2.122987e-01	5.987912e+01	1.960312e+01	2.330850e+01	6.919347e+00	2.265077e-03	3.233559e-02	4.346809e-02	9.049868e-03	2.964760e+00	2.260604e-01	2.338682e-01	1.221202e+00	4.494498e-02	3.427016e-03	3.545381e-03	1.851310e-02	3.294178e-02	2.511782e-03	2.598536e-03	1.356891e-02
