# export_mt_object_to_txt
# station_id: CAF004
# lat: 47.09113255555556
# lon: -123.98280611111112
# profile_pos_m: -6625.5127909116145
# n_freq: 17
# columns: freq_hz	period_s	Zxx_real	Zxx_imag	Zxy_real	Zxy_imag	Zyx_real	Zyx_imag	Zyy_real	Zyy_imag	Zxx_err	Zxy_err	Zyx_err	Zyy_err	rho_xx	rho_xy	rho_yx	rho_yy	phs_xx_deg	phs_xy_deg	phs_yx_deg	phs_yy_deg	rho_err_xx	rho_err_xy	rho_err_yx	rho_err_yy	phs_err_xx_deg	phs_err_xy_deg	phs_err_yx_deg	phs_err_yy_deg	rho_noise_std_log10_xx	rho_noise_std_log10_xy	rho_noise_std_log10_yx	rho_noise_std_log10_yy	phs_noise_std_norm_xx	phs_noise_std_norm_xy	phs_noise_std_norm_yx	phs_noise_std_norm_yy
freq_hz	period_s	Zxx_real	Zxx_imag	Zxy_real	Zxy_imag	Zyx_real	Zyx_imag	Zyy_real	Zyy_imag	Zxx_err	Zxy_err	Zyx_err	Zyy_err	rho_xx	rho_xy	rho_yx	rho_yy	phs_xx_deg	phs_xy_deg	phs_yx_deg	phs_yy_deg	rho_err_xx	rho_err_xy	rho_err_yx	rho_err_yy	phs_err_xx_deg	phs_err_xy_deg	phs_err_yx_deg	phs_err_yy_deg	rho_noise_std_log10_xx	rho_noise_std_log10_xy	rho_noise_std_log10_yx	rho_noise_std_log10_yy	phs_noise_std_norm_xx	phs_noise_std_norm_xy	phs_noise_std_norm_yx	phs_noise_std_norm_yy
2.154430e-04	4.641599e+03	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3.162270e-04	3.162285e+03	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4.641580e-04	2.154439e+03	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6.812920e-04	1.467799e+03	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1.000000e-03	1.000000e+03	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1.467800e-03	6.812917e+02	3.552648e-04	5.985578e-05	2.392153e-04	1.822543e-04	-8.242528e-04	-1.652994e-04	-3.112834e-04	-2.135697e-04	7.021676e-05	7.472561e-05	7.305170e-05	7.297164e-05	1.119964e+01	7.803813e+00	6.098017e+01	1.229665e+01	9.563500e+00	3.730320e+01	1.133993e+01	3.445379e+01	4.365606e+00	3.878150e+00	1.059806e+01	4.753891e+00	1.116691e+01	1.423673e+01	4.978865e+00	1.107529e+01	1.692875e-01	2.158252e-01	7.547828e-02	1.678985e-01	1.240768e-01	1.581859e-01	5.532072e-02	1.230588e-01
2.154430e-03	4.641599e+02	3.662411e-04	6.296114e-05	2.802100e-04	1.979762e-04	-8.503063e-04	-1.710296e-04	-3.571849e-04	-2.192888e-04	6.821771e-05	7.125371e-05	7.415775e-05	7.113054e-05	8.118223e+00	6.919893e+00	4.422347e+01	1.032695e+01	9.754469e+00	3.524228e+01	1.137266e+01	3.154728e+01	2.980551e+00	2.874260e+00	7.562264e+00	3.505186e+00	1.051788e+01	1.189924e+01	4.898822e+00	9.723703e+00	1.594483e-01	1.803894e-01	7.426486e-02	1.474088e-01	1.168653e-01	1.322138e-01	5.443136e-02	1.080411e-01
3.162270e-03	3.162285e+02	3.709727e-04	6.634841e-05	3.201474e-04	2.139526e-04	-8.681615e-04	-1.908176e-04	-3.969470e-04	-2.249186e-04	6.090122e-05	6.469380e-05	7.476383e-05	7.004048e-05	5.688131e+00	5.938337e+00	3.164478e+01	8.336789e+00	1.014013e+01	3.375458e+01	1.239622e+01	2.953681e+01	1.838427e+00	1.995403e+00	5.323267e+00	2.559671e+00	9.259115e+00	9.626281e+00	4.819131e+00	8.795854e+00	1.403658e-01	1.459319e-01	7.305677e-02	1.333428e-01	1.028791e-01	1.069587e-01	5.354591e-02	9.773171e-02
4.641580e-03	2.154439e+02	3.824077e-04	7.962464e-05	3.610639e-04	2.472459e-04	-8.928816e-04	-2.227635e-04	-4.484668e-04	-2.537942e-04	5.639509e-05	5.813128e-05	7.569563e-05	6.286962e-05	4.163226e+00	5.225261e+00	2.310769e+01	7.245434e+00	1.176202e+01	3.440219e+01	1.400865e+01	2.950618e+01	1.202150e+00	1.388245e+00	3.801468e+00	1.767971e+00	8.272203e+00	7.611158e+00	4.712890e+00	6.990423e+00	1.254044e-01	1.153832e-01	7.144618e-02	1.059730e-01	9.191336e-02	8.456842e-02	5.236545e-02	7.767136e-02
6.812920e-03	1.467799e+02	3.984158e-04	1.024875e-04	4.105163e-04	2.929927e-04	-9.161421e-04	-2.874331e-04	-5.115376e-04	-2.900574e-04	4.925860e-05	4.989771e-05	7.700451e-05	5.531207e-05	3.146133e+00	4.728682e+00	1.713866e+01	6.428460e+00	1.442586e+01	3.551612e+01	1.741888e+01	2.955456e+01	7.534235e-01	9.356623e-01	2.748989e+00	1.209322e+00	6.860483e+00	5.668546e+00	4.595035e+00	5.389240e+00	1.040031e-01	8.593367e-02	6.965952e-02	8.169947e-02	7.622758e-02	6.298385e-02	5.105595e-02	5.988045e-02
