# export_mt_object_to_txt
# station_id: CAF048
# lat: 47.021007499999996
# lon: -121.10619972222221
# profile_pos_m: 211713.47764145312
# n_freq: 16
# columns: freq_hz	period_s	Zxx_real	Zxx_imag	Zxy_real	Zxy_imag	Zyx_real	Zyx_imag	Zyy_real	Zyy_imag	Zxx_err	Zxy_err	Zyx_err	Zyy_err	rho_xx	rho_xy	rho_yx	rho_yy	phs_xx_deg	phs_xy_deg	phs_yx_deg	phs_yy_deg	rho_err_xx	rho_err_xy	rho_err_yx	rho_err_yy	phs_err_xx_deg	phs_err_xy_deg	phs_err_yx_deg	phs_err_yy_deg	rho_noise_std_log10_xx	rho_noise_std_log10_xy	rho_noise_std_log10_yx	rho_noise_std_log10_yy	phs_noise_std_norm_xx	phs_noise_std_norm_xy	phs_noise_std_norm_yx	phs_noise_std_norm_yy
freq_hz	period_s	Zxx_real	Zxx_imag	Zxy_real	Zxy_imag	Zyx_real	Zyx_imag	Zyy_real	Zyy_imag	Zxx_err	Zxy_err	Zyx_err	Zyy_err	rho_xx	rho_xy	rho_yx	rho_yy	phs_xx_deg	phs_xy_deg	phs_yx_deg	phs_yy_deg	rho_err_xx	rho_err_xy	rho_err_yx	rho_err_yy	phs_err_xx_deg	phs_err_xy_deg	phs_err_yx_deg	phs_err_yy_deg	rho_noise_std_log10_xx	rho_noise_std_log10_xy	rho_noise_std_log10_yx	rho_noise_std_log10_yy	phs_noise_std_norm_xx	phs_noise_std_norm_xy	phs_noise_std_norm_yx	phs_noise_std_norm_yy
3.162270e-04	3.162285e+03	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4.641580e-04	2.154439e+03	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6.812920e-04	1.467799e+03	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1.000000e-03	1.000000e+03	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1.467800e-03	6.812917e+02	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2.154430e-03	4.641599e+02	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3.162270e-03	3.162285e+02	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4.641580e-03	2.154439e+02	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6.812920e-03	1.467799e+02	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1.000000e-02	1.000000e+02	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1.467800e-02	6.812917e+01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2.154430e-02	4.641599e+01	1.366144e-04	9.098355e-05	2.791553e-04	3.975716e-04	-6.465901e-04	-1.415040e-03	-3.025099e-04	4.746685e-04	5.838728e-05	5.891921e-05	8.590115e-05	6.602515e-05	1.583798e-01	1.387309e+00	1.422879e+01	1.862489e+00	3.366314e+01	5.492535e+01	6.544238e+01	5.749032e+01	1.126775e-01	3.365212e-01	1.571274e+00	4.369434e-01	2.038121e+01	6.949154e+00	3.163564e+00	6.720848e+00	3.089738e-01	1.053473e-01	4.795879e-02	1.018863e-01	2.264579e-01	7.721282e-02	3.515071e-02	7.467608e-02
3.162270e-02	3.162285e+01	1.535914e-04	1.044158e-04	3.449409e-04	5.085245e-04	-9.657191e-04	-1.923737e-03	-1.940103e-04	7.284074e-04	6.291495e-05	6.718658e-05	9.959107e-05	7.701312e-05	1.381472e-01	1.512244e+00	1.855706e+01	2.275757e+00	3.420898e+01	5.585028e+01	6.334328e+01	7.508560e+01	9.359671e-02	3.306961e-01	1.717160e+00	4.650111e-01	1.940935e+01	6.264694e+00	2.650905e+00	5.853695e+00	2.942407e-01	9.497111e-02	4.018702e-02	8.874048e-02	2.156595e-01	6.960771e-02	2.945450e-02	6.504106e-02
4.641600e-02	2.154430e+01	1.817820e-04	1.246651e-04	4.387730e-04	6.570292e-04	-1.390678e-03	-2.420723e-03	7.258711e-05	1.024449e-03	7.658894e-05	7.853888e-05	1.126248e-04	9.014626e-05	1.325728e-01	1.703228e+00	2.126653e+01	2.878050e+00	3.444211e+01	5.626447e+01	6.012312e+01	8.594709e+01	9.212863e-02	3.386276e-01	1.715867e+00	5.052405e-01	1.990823e+01	5.695637e+00	2.311425e+00	5.029125e+00	3.018036e-01	8.634436e-02	3.504059e-02	7.624021e-02	2.212026e-01	6.328486e-02	2.568250e-02	5.587917e-02
6.812920e-02	1.467799e+01	2.232832e-04	1.520577e-04	5.504698e-04	8.233828e-04	-1.838244e-03	-2.887489e-03	5.382173e-04	1.203370e-03	9.625934e-05	1.048063e-04	1.253698e-04	1.151818e-04	1.356634e-01	1.823625e+00	2.178129e+01	3.230509e+00	3.425519e+01	5.623543e+01	5.751820e+01	6.590301e+01	9.668135e-02	3.859434e-01	1.595523e+00	5.645311e-01	2.041609e+01	6.062905e+00	2.098516e+00	5.006216e+00	3.095026e-01	9.191204e-02	3.181295e-02	7.589292e-02	2.268455e-01	6.736561e-02	2.331684e-02	5.562462e-02
1.000000e-01	1.000000e+01	2.567448e-04	1.372804e-04	6.347604e-04	1.017171e-03	-2.418682e-03	-3.640125e-03	8.844056e-04	1.148070e-03	6.792469e-05	9.506962e-05	1.392302e-04	1.099938e-04	1.073546e-01	1.820687e+00	2.419111e+01	2.659981e+00	2.813324e+01	5.803397e+01	5.639793e+01	5.239145e+01	5.009255e-02	2.887317e-01	1.541333e+00	4.037780e-01	1.336734e+01	4.543096e+00	1.825296e+00	4.348673e+00	2.026454e-01	6.887214e-02	2.767101e-02	6.592475e-02	1.485260e-01	5.047884e-02	2.028107e-02	4.831859e-02
